day,month,year,home_team,away_team,home_score,away_score,tournament,winner,loser
3,2,1900,Scotland,Wales,5,2,British Home Championship,Scotland,Wales
24,2,1900,Wales,Northern Ireland,2,0,British Home Championship,Wales,Northern Ireland
3,3,1900,Northern Ireland,Scotland,0,3,British Home Championship,Scotland,Northern Ireland
17,3,1900,Northern Ireland,England,0,2,British Home Championship,England,Northern Ireland
26,3,1900,Wales,England,1,1,British Home Championship,Tie,Tie
7,4,1900,Scotland,England,4,1,British Home Championship,Scotland,England
23,2,1901,Scotland,Northern Ireland,11,0,British Home Championship,Scotland,Northern Ireland
2,3,1901,Wales,Scotland,1,1,British Home Championship,Tie,Tie
9,3,1901,England,Northern Ireland,3,0,British Home Championship,England,Northern Ireland
18,3,1901,England,Wales,6,0,British Home Championship,England,Wales
23,3,1901,Northern Ireland,Wales,0,1,British Home Championship,Wales,Northern Ireland
30,3,1901,England,Scotland,2,2,British Home Championship,Tie,Tie
22,2,1902,Wales,Northern Ireland,0,3,British Home Championship,Northern Ireland,Wales
1,3,1902,Northern Ireland,Scotland,1,5,British Home Championship,Scotland,Northern Ireland
3,3,1902,Wales,England,0,0,British Home Championship,Tie,Tie
15,3,1902,Scotland,Wales,5,1,British Home Championship,Scotland,Wales
22,3,1902,Northern Ireland,England,0,1,British Home Championship,England,Northern Ireland
3,5,1902,England,Scotland,2,2,British Home Championship,Tie,Tie
20,7,1902,Uruguay,Argentina,0,6,Friendly,Argentina,Uruguay
12,10,1902,Austria,Hungary,5,0,Friendly,Austria,Hungary
14,2,1903,England,Northern Ireland,4,0,British Home Championship,England,Northern Ireland
2,3,1903,England,Wales,2,1,British Home Championship,England,Wales
9,3,1903,Wales,Scotland,0,1,British Home Championship,Scotland,Wales
21,3,1903,Scotland,Northern Ireland,0,2,British Home Championship,Northern Ireland,Scotland
28,3,1903,Northern Ireland,Wales,2,0,British Home Championship,Northern Ireland,Wales
4,4,1903,England,Scotland,1,2,British Home Championship,Scotland,England
5,4,1903,Hungary,Czechoslovakia,2,1,Friendly,Hungary,Czechoslovakia
11,6,1903,Hungary,Austria,3,2,Friendly,Hungary,Austria
13,9,1903,Argentina,Uruguay,2,3,Friendly,Uruguay,Argentina
11,10,1903,Austria,Hungary,4,2,Friendly,Austria,Hungary
29,2,1904,Wales,England,2,2,British Home Championship,Tie,Tie
12,3,1904,Northern Ireland,England,1,3,British Home Championship,England,Northern Ireland
12,3,1904,Scotland,Wales,1,1,British Home Championship,Tie,Tie
21,3,1904,Wales,Northern Ireland,0,1,British Home Championship,Northern Ireland,Wales
26,3,1904,Northern Ireland,Scotland,1,1,British Home Championship,Tie,Tie
9,4,1904,Scotland,England,0,1,British Home Championship,England,Scotland
1,5,1904,Belgium,France,3,3,Évence Coppée Trophy,Tie,Tie
2,6,1904,Hungary,Austria,3,0,Friendly,Hungary,Austria
9,10,1904,Austria,Hungary,5,4,Friendly,Austria,Hungary
12,2,1905,France,Switzerland,1,0,Friendly,France,Switzerland
25,2,1905,England,Northern Ireland,1,1,British Home Championship,Tie,Tie
6,3,1905,Wales,Scotland,3,1,British Home Championship,Wales,Scotland
18,3,1905,Scotland,Northern Ireland,4,0,British Home Championship,Scotland,Northern Ireland
27,3,1905,England,Wales,3,1,British Home Championship,England,Wales
1,4,1905,England,Scotland,1,0,British Home Championship,England,Scotland
8,4,1905,Northern Ireland,Wales,2,2,British Home Championship,Tie,Tie
9,4,1905,Hungary,Austria,0,0,Friendly,Tie,Tie
30,4,1905,Belgium,Netherlands,1,4,Friendly,Netherlands,Belgium
7,5,1905,Belgium,France,7,0,Friendly,Belgium,France
14,5,1905,Netherlands,Belgium,4,0,Friendly,Netherlands,Belgium
15,8,1905,Argentina,Uruguay,0,0,Copa Lipton,Tie,Tie
17,2,1906,Northern Ireland,England,0,5,British Home Championship,England,Northern Ireland
3,3,1906,Scotland,Wales,0,2,British Home Championship,Wales,Scotland
17,3,1906,Northern Ireland,Scotland,0,1,British Home Championship,Scotland,Northern Ireland
19,3,1906,Wales,England,0,1,British Home Championship,England,Wales
1,4,1906,Hungary,Czechoslovakia,1,1,Friendly,Tie,Tie
2,4,1906,Wales,Northern Ireland,4,4,British Home Championship,Tie,Tie
7,4,1906,Scotland,England,2,1,British Home Championship,Scotland,England
22,4,1906,France,Belgium,0,5,Friendly,Belgium,France
29,4,1906,Belgium,Netherlands,5,0,Friendly,Belgium,Netherlands
13,5,1906,Netherlands,Belgium,2,3,Friendly,Belgium,Netherlands
15,8,1906,Uruguay,Argentina,0,2,Copa Lipton,Argentina,Uruguay
7,10,1906,Czechoslovakia,Hungary,4,4,Friendly,Tie,Tie
21,10,1906,Argentina,Uruguay,2,1,Copa Newton,Argentina,Uruguay
4,11,1906,Hungary,Austria,3,1,Friendly,Hungary,Austria
16,2,1907,England,Northern Ireland,1,0,British Home Championship,England,Northern Ireland
23,2,1907,Northern Ireland,Wales,2,3,British Home Championship,Wales,Northern Ireland
4,3,1907,Wales,Scotland,1,0,British Home Championship,Wales,Scotland
16,3,1907,Scotland,Northern Ireland,3,0,British Home Championship,Scotland,Northern Ireland
18,3,1907,England,Wales,1,1,British Home Championship,Tie,Tie
6,4,1907,England,Scotland,1,1,British Home Championship,Tie,Tie
7,4,1907,Hungary,Czechoslovakia,5,2,Friendly,Hungary,Czechoslovakia
14,4,1907,Belgium,Netherlands,1,3,Friendly,Netherlands,Belgium
21,4,1907,Belgium,France,1,2,Friendly,France,Belgium
5,5,1907,Austria,Hungary,3,1,Friendly,Austria,Hungary
9,5,1907,Netherlands,Belgium,1,2,Friendly,Belgium,Netherlands
6,10,1907,Czechoslovakia,Hungary,5,3,Friendly,Czechoslovakia,Hungary
3,11,1907,Hungary,Austria,4,1,Friendly,Hungary,Austria
15,2,1908,Northern Ireland,England,1,3,British Home Championship,England,Northern Ireland
7,3,1908,Scotland,Wales,2,1,British Home Championship,Scotland,Wales
8,3,1908,Switzerland,France,1,2,Friendly,France,Switzerland
14,3,1908,Northern Ireland,Scotland,0,5,British Home Championship,Scotland,Northern Ireland
16,3,1908,Wales,England,1,7,British Home Championship,England,Wales
29,3,1908,Belgium,Netherlands,1,4,Friendly,Netherlands,Belgium
4,4,1908,Scotland,England,1,1,British Home Championship,Tie,Tie
5,4,1908,Hungary,Czechoslovakia,5,2,Friendly,Hungary,Czechoslovakia
5,4,1908,Switzerland,Germany,5,3,Friendly,Switzerland,Germany
11,4,1908,Wales,Northern Ireland,0,1,British Home Championship,Northern Ireland,Wales
12,4,1908,France,Belgium,1,2,Friendly,Belgium,France
26,4,1908,Netherlands,Belgium,3,1,Friendly,Netherlands,Belgium
3,5,1908,Austria,Hungary,4,0,Friendly,Austria,Hungary
10,5,1908,Netherlands,France,4,1,Friendly,Netherlands,France
6,6,1908,Austria,England,1,6,Friendly,England,Austria
7,6,1908,Austria,Germany,3,2,Friendly,Austria,Germany
8,6,1908,Austria,England,1,11,Friendly,England,Austria
10,6,1908,Hungary,England,0,7,Friendly,England,Hungary
13,6,1908,Czechoslovakia,England,0,4,Friendly,England,Czechoslovakia
12,7,1908,Sweden,Norway,11,3,Friendly,Sweden,Norway
15,8,1908,Uruguay,Argentina,2,2,Copa Lipton,Tie,Tie
13,9,1908,Argentina,Uruguay,2,1,Copa Newton,Argentina,Uruguay
4,10,1908,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Uruguay,Argentina
25,10,1908,Netherlands,Sweden,5,3,Friendly,Netherlands,Sweden
26,10,1908,Belgium,Sweden,2,1,Friendly,Belgium,Sweden
1,11,1908,Hungary,Austria,5,3,Friendly,Hungary,Austria
13,2,1909,England,Northern Ireland,4,0,British Home Championship,England,Northern Ireland
